Number,PM,Team,Cycle,Project,Themes,Aligned_with_Company_Metrics_or_KR,Company_Metric_or_KR,Incremental_vs_Strategic,Revenue_Cost_of_Delay,Customer_Churn_Risk_of_Delay,Usage_Cost_of_Delay,Has_Risk_Cost_of_Delay,Status
38,Peter,RT,2,Streaming Qualifications Private Preview,Triggers,Y,50% of customers with production use cases on Triggers or Profile API ++ Net Retention >=120% ++ ARR  >$50M,S,None,Medium,Medium,None,
39,Peter,RT,2,Profile API Profile Deletion,Configuration & Access,Y,50% of customers with production use cases on Triggers or Profile API ++ Net Retention >=120% ++ ARR  >$50M,I,None,Small,None,None,
54,Allan,CX,1,Updating audiences in Journeys,Journeys,Y,50% YoY growth in new Journey creation ++ X% of customers consider Journeys as the primary orchestration solution ++ Net Retention >=120%,S,None,Small,Medium,None,
55,Allan,CX,1,DV360 integration via Google Audience Partner API (carryover from Q1),Activations,Y,Net Retention >=120%,I,None,Large,Large,None,
56,Allan,CX,1,Run Customer Journeys for 1 customer in Production,Journeys,Y,50% YoY growth in new Journey creation ++ X% of customers consider Journeys as the primary orchestration solution,S,Small,None,Small,None,
48,Phil,C360,1,HybridCompute 360 Beta Readiness,Hybrid Compute,Y,100% of customers deployed on HybridCompute referencable with respect to HybridCompute in 6 months ++ Net Retention >=120%,S,None,Medium,Small,None,
49,Phil,C360,1,Pipelines End-to-End Ingest MVP,Pipelines,Y,50% of new ingests configured through Pipelines in Q4 ++ Net Retention >=120%,S,None,None,None,None,
50,Phil,C360,1,Streaming Ingest Improvements,Streaming Ingest,N,,I,None,None,None,None,
51,Phil,EXE,1,Spark 3 Upgrade,Spark 3,Y,,I,Small,None,None,None,
52,Phil,EXE,1,HybridCompute EXE Beta Readiness (and Teradata Connector),Hybrid Compute,Y,100% of customers deployed on HybridCompute referencable with respect to HybridCompute in 6 months ++ Net Retention >=120%,S,None,Medium,Small,None,
53,Phil,EXE,1,Query Service MVP,Query Service,Y,15 customers weekly active on Query Service w/ 150K cumulative ICCs attributable ++ Net Retention >=120%,S,None,None,Small,None,
57,Peter,CINT,1,Credit Dashboard & Monitor Cleanup & Rollout,Billing,Y,Net Retention >=120%,S,None,None,None,Medium,
58,Peter,CINT,1,Multi-workspace Access,Configuration & Access,Y,Net Retention >=120%,I,Small,Small,Small,None,
59,Peter,CINT,1,Setting page cleanup & rollout,Configuration & Access,N,,I,None,None,None,None,
60,Peter,CINT,1,UI Performance - Audience List Page (Cold Start),UX,Y,Net Retention >=120%,I,None,None,None,None,
61,Peter,RT,1,Streaming Quals,Triggers,Y,50% of customers with production use cases on Triggers or Profile API ++ Net Retention >=120% ++ ARR  >$50M,S,None,Small,Small,None,
